Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
68591,Brida,Paulo Coelho,"Coelho, Paulo",,"=""9504915248""","=""9789504915249""",3,3.50,Planeta,Paperback,264,2006,1990,,2015/06/02,,,read,,,,1,0
17182625,"813 (Arsen Lüpen Bütün Maceraları, #1)",Maurice Leblanc,"Leblanc, Maurice",Saffet Günersel,"=""9758621548""","=""9789758621545""",3,3.88,Güncel Yayıncılık,Paperback,383,2003,1910,,2015/06/02,,,read,,,,1,0
6442865,Bir Deliler Evinin Yalan Yanlış Anlatılan Kısa Tarihi,Ayfer Tunç,"Tunç, Ayfer",,"=""""","=""9789750722127""",3,4.42,Can Yayınları,Paperback,536,2009,2009,,2015/06/02,,,read,,,,1,0
175582,Al Gözüm Seyreyle Salih,Yaşar Kemal,"Kemal, Yaşar",,"=""""","=""9789750807275""",4,4.12,Yapı Kredi Yayınları,Paperback,398,2015,1971,,2015/06/02,,,read,,,,1,0
12779936,Gizli Emir,Melih Cevdet Anday,"Anday, Melih Cevdet",,"=""9752899285""","=""9789752899285""",4,3.81,Everest Yayınları,Paperback,262,2011,1970,,2015/06/02,,,read,,,,1,0
8196898,Allahın Askerleri,Yaşar Kemal,"Kemal, Yaşar",,"=""""","=""""",4,4.38,Yapı Kredi Yayınları,Paperback,223,2004,1978,,2015/06/02,,,read,,,,1,0
352383,Antigone,Jean Anouilh,"Anouilh, Jean",Lewis Galantibre,"=""041330860X""","=""9780413308603""",4,3.78,Methuen,Paperback,72,1960,1944,,2015/06/02,,,read,,,,1,0
53878,Benim Adım Kırmızı,Orhan Pamuk,"Pamuk, Orhan",,"=""""","=""""",4,3.87,İletişim Yayınevi,Paperback,472,2000,1998,,2015/06/02,,,read,,,,1,0
7349197,Cyrano de Bergerac,Edmond Rostand,"Rostand, Edmond",,"=""""","=""9789751412966""",4,4.06,Remzi Kitabevi,Paperback,279,2010,1897,,2015/06/02,,,read,,,,1,0
13604462,Duino Ağıtları,Rainer Maria Rilke,"Rilke, Rainer Maria",Can Alkor,"=""""","=""9789754587241""",3,4.40,İş Bankası Kültür Yayınları,Hardcover,84,2006,1922,,2015/06/02,,,read,,,,1,0
7948883,İshak,Onat Kutlar,"Kutlar, Onat",,"=""9750816633""","=""9789750816635""",4,4.05,Yapı Kredi Yayınları ,Hardcover,120,2009,1959,,2015/06/02,,,read,,,,1,0
13505077,Güvercin,Patrick Süskind,"Süskind, Patrick",Tevfik Turan,"=""9755102124""","=""""",4,3.71,Can Yayınları,Paperback,77,2015,1987,,2015/06/02,,,read,,,,1,0
23643413,Lanark - Dört Kitaplık Bir Hayat,Alasdair Gray,"Gray, Alasdair",Emine Ayhan,"=""9753427263""","=""9789753427265""",4,4.10,Metis Yayıncılık,Paperback,616,2009,1981,,2015/06/02,,,read,,,,1,0
10244753,Kimlik,Milan Kundera,"Kundera, Milan",Aykut Derman,"=""""","=""""",3,3.69,Can Yayınları,Paperback,167,1999,1997,,2015/06/02,,,read,,,,1,0
10491788,Filler Sultanı ile Kırmızı Sakallı Topal Karınca,Yaşar Kemal,"Kemal, Yaşar",,"=""9750806735""","=""9789750806735""",4,4.31,Yapı Kredi Yayınları,Paperback,220,2004,1977,,2015/06/02,,,read,,,,1,0
11782436,"Peri Bacaları (Bu Diyar Baştanbaşa, #3)",Yaşar Kemal,"Kemal, Yaşar",,"=""9750807103""","=""9789750807107""",4,4.48,Yapı Kredi Yayınları,Paperback,216,2004,2004,,2015/06/02,,,read,,,,1,0
16057844,"Nuhun Gemisi (Bu Diyar Baştanbaşa, #1)",Yaşar Kemal,"Kemal, Yaşar",,"=""9750807006""","=""9789750807008""",4,4.46,Yapı Kredi Yayınları,Paperback,205,2011,1993,,2015/06/02,,,read,,,,1,0
11695539,Ağaçkakan,Tom Robbins,"Robbins, Tom",Fatma Taşkent,"=""9789755392""","=""9789755392417""",4,4.03,Ayrıntı Yayınları,Paperback,288,2010,1980,,2015/06/02,,,read,,,,1,0
18080732,Yitik Adanın Öyküsü,José Saramago,"Saramago, José",Dost Körpe,"=""6054764179""","=""9786054764174""",4,3.82,Kırmızı Kedi Yayınevi,Paperback,320,2013,1986,,2015/06/02,,,read,,,,1,0
